time,exact_position,float64_exact_position,low_precision_exact_position,float64_biased_position
0,1,1,1,1
0.9,0.621609968271,0.620654278208,0.62,0.613578556296
1.8,-0.227202094693,-0.229576533884,-0.231,-0.247042710508
2.7,-0.904072142017,-0.905629594071,-0.904,-0.916738775609
3.6,-0.896758416334,-0.894589230179,-0.893,-0.87793979837
4.5,-0.210795799431,-0.204831671828,-0.204,-0.160631292387
5.4,0.634692875943,0.640329923314,0.639,0.680819965412
6.3,0.999858636383,0.999678684567,0.998,0.996104355337
7.2,0.608351314532,0.600579781506,0.6,0.541556579123
8.1,-0.243544153736,-0.254173862974,-0.253,-0.331529347395
9,-0.911130261885,-0.916087972432,-0.915,-0.948395175812
9.9,-0.889191152625,-0.882973975636,-0.881,-0.83230053815
10.8,-0.194329906455,-0.179955178617,-0.179,-0.0729683493931
11.7,0.647596338654,0.659594072647,0.659,0.742756909198
12.6,0.999434585501,0.998714944755,0.997,0.984447773443
13.5,0.59492066331,0.580119333698,0.577,0.465315177957
14.4,-0.259817356214,-0.278607852093,-0.28,-0.413432943216
15.3,-0.917930780414,-0.925957644386,-0.925,-0.972662354804
16.2,-0.881372490362,-0.870791294762,-0.868,-0.780176583632
17.1,-0.177809071123,-0.154963040654,-0.153,0.0152631111229
18,0.660316708244,0.67843434647,0.678,0.798906819007
18.9,0.998727967244,0.997109399894,0.996,0.965121074119
19.8,0.581321811814,0.559286083301,0.557,0.385448371611
20.7,-0.276017101249,-0.302862799208,-0.305,-0.49211536336
21.6,-0.924471774914,-0.935232267378,-0.935,-0.989351239974
22.5,-0.873304640094,-0.858049016524,-0.856,-0.721974047625
23.4,-0.161237964324,-0.129871318658,-0.126,0.103375652324
24.3,0.672850388318,0.696838637441,0.698,0.848832214643
25.2,0.997738981391,0.994863081755,0.993,0.938274837272
26.1,0.567558604812,0.538093418404,0.533,0.302578425481
27,-0.292138808734,-0.326923117339,-0.331,-0.566963570326
27.9,-0.930751396067,-0.943905881247,-0.945,-0.998331803387
28.8,-0.86498988282,-0.844755329504,-0.842,-0.658146402927
29.7,-0.144621271162,-0.104696137344,-0.099,0.190682763909
30.6,0.685193835264,0.714795118395,0.719,0.892144112907
31.5,0.996467907557,0.991977433892,0.991,0.904118229701
32.4,0.553634933535,0.516554958067,0.512,0.217351003295
33.3,-0.308177920621,-0.350773344585,-0.355,-0.637394400079
34.2,-0.936767868453,-0.951972912062,-0.955,-0.999534074878
35.1,-0.856430569351,-0.830918776635,-0.831,-0.589190949185
36,-0.127963689627,-0.0794536750608,-0.076,0.27650421091
36.9,0.697343559252,0.732292249943,0.736,0.928505058266
37.8,0.994915105109,0.988454310712,0.988,0.862917375417
38.7,0.539554734585,0.49468454357,0.491,0.130430136557
39.6,-0.324129902218,-0.374398154052,-0.379,-0.702859105645
40.5,-0.942519491051,-0.959428175701,-0.96,-0.992948687199
41.4,-0.847629119636,-0.816548249712,-0.812,-0.51564493829
