case,integrator,time_fs,volume_angstrom3,volume_ratio,pressure_pa,temperature_k,total_energy_ev_per_atom
isotropic_tau_500fs,csvr_npt,20,10041.5898438,1,129008837.58,83.8033499248,-0.0580676188692
isotropic_tau_500fs,csvr_npt,40,10066.9091797,1.00252144694,118359787.311,81.647503823,-0.0585490968078
isotropic_tau_500fs,csvr_npt,60,10094.6953125,1.00528855187,107907771.449,80.6899897443,-0.0588616523892
isotropic_tau_500fs,csvr_npt,80,10133.4833984,1.00915129537,96760137.0534,82.1334507532,-0.058760503307
isotropic_tau_500fs,csvr_npt,100,10188.5771484,1.01463785187,84666828.8921,88.8874563001,-0.0578351020813
isotropic_tau_500fs,csvr_npt,120,10228.5507812,1.01861865904,81238932.8542,92.0395362852,-0.0571386441588
isotropic_tau_500fs,csvr_npt,140,10275.3349609,1.02327770013,79232609.4675,90.3705268083,-0.0569239752367
isotropic_tau_500fs,csvr_npt,160,10278.6513672,1.02360796718,89169691.3545,88.0788178089,-0.056699889712
isotropic_tau_500fs,csvr_npt,180,10306.5595703,1.02638722858,89946162.2925,85.9354491334,-0.0566426338628
isotropic_tau_500fs,csvr_npt,200,10327.4921875,1.02847182052,89287474.3041,87.6536015867,-0.0562263103202
isotropic_tau_500fs,csvr_npt,220,10327.5273438,1.02847532158,91647451.1856,89.1068130713,-0.0559321111068
isotropic_tau_500fs,csvr_npt,240,10355.8964844,1.03130048583,84620636.1781,91.1738198977,-0.0556800253689
isotropic_tau_500fs,csvr_npt,260,10378.1484375,1.03351646492,77779847.9137,88.7354197646,-0.0560553418472
isotropic_tau_500fs,csvr_npt,280,10407.3037109,1.03641991685,67726061.7723,89.784818334,-0.0560628790408
isotropic_tau_500fs,csvr_npt,300,10410.78125,1.03676623045,62773077.1993,91.332221729,-0.056058938615
isotropic_tau_500fs,csvr_npt,320,10447.8710938,1.0404598531,50814847.6376,95.1553991842,-0.0557300997898
isotropic_tau_500fs,csvr_npt,340,10460.3466797,1.04170224461,47683605.9993,94.5069129805,-0.0558157414198
isotropic_tau_500fs,csvr_npt,360,10456.2910156,1.04129835796,51424577.784,96.3150331025,-0.0554289016873
isotropic_tau_500fs,csvr_npt,380,10479.8662109,1.04364611322,50404500.4708,90.3387871291,-0.0559936370701
isotropic_tau_500fs,csvr_npt,400,10481.2089844,1.04377983442,54930050.5052,91.4633106548,-0.0556081971154
isotropic_tau_500fs,csvr_npt,420,10456.7285156,1.04134192676,65194597.2185,92.2730486061,-0.0552665069699
isotropic_tau_500fs,csvr_npt,440,10478.2714844,1.04348730106,64083516.2642,93.1137161082,-0.0549904368818
isotropic_tau_500fs,csvr_npt,460,10485.3730469,1.04419451601,65952290.4662,97.018072784,-0.0543330069631
isotropic_tau_500fs,csvr_npt,480,10553.5644531,1.0509854134,52856328.0955,92.8114658265,-0.054820748046
isotropic_tau_500fs,csvr_npt,500,10587.5742188,1.05437230394,47192349.6959,89.9980919078,-0.0551510564983
isotropic_tau_500fs,csvr_npt,520,10633.4970703,1.05894556896,38519117.032,87.4314382987,-0.0554668875411
isotropic_tau_500fs,csvr_npt,540,10645.8925781,1.06017998582,36417911.9859,89.5773096928,-0.0551815377548
isotropic_tau_500fs,csvr_npt,560,10693.6972656,1.06494065502,26255798.5756,91.694464923,-0.0549409240484
isotropic_tau_500fs,csvr_npt,580,10723.1933594,1.06787804782,20084419.7763,88.044821343,-0.0554326940328
isotropic_tau_500fs,csvr_npt,600,10732.9375,1.0688484261,18303842.7038,90.6821297348,-0.0550812687725
isotropic_tau_500fs,csvr_npt,620,10769.7978516,1.07251919458,11671343.5518,93.7966906415,-0.0546376351267
isotropic_tau_500fs,csvr_npt,640,10756.0957031,1.07115465484,16133531.5103,99.3552140818,-0.0538210673258
isotropic_tau_500fs,csvr_npt,660,10745.9248047,1.07014177754,22129785.8296,101.157750103,-0.053377292119
isotropic_tau_500fs,csvr_npt,680,10768.6533203,1.0724052155,23256799.299,99.0393290472,-0.0533524071798
isotropic_tau_500fs,csvr_npt,700,10770.0234375,1.07254165975,28912381.2842,95.6358415802,-0.0534875318408
isotropic_tau_500fs,csvr_npt,720,10816.0410156,1.07712435819,24668879.7429,96.2072643056,-0.0531802056357
isotropic_tau_500fs,csvr_npt,740,10850.2089844,1.08052700351,20713110.8279,96.2226712146,-0.053077836521
isotropic_tau_500fs,csvr_npt,760,10861.1601562,1.08161758499,20646739.9851,100.174782075,-0.0525051997975
isotropic_tau_500fs,csvr_npt,780,10856.3232422,1.08113589692,25126386.0196,100.901170819,-0.0522704003379
isotropic_tau_500fs,csvr_npt,800,10910.5166016,1.08653278727,20062241.8257,100.812816174,-0.0520529281348
isotropic_tau_500fs,csvr_npt,820,10937.3808594,1.08920808652,20579033.2077,97.3307317709,-0.0522568477318
isotropic_tau_500fs,csvr_npt,840,10956.4140625,1.09110352374,21756022.2073,97.9408236679,-0.0519925113767
isotropic_tau_500fs,csvr_npt,860,11041.8837891,1.0996150969,10575949.9678,97.6881286602,-0.051836092025
isotropic_tau_500fs,csvr_npt,880,11022.9072266,1.09772530028,18471787.7015,100.253972141,-0.0512985996902
isotropic_tau_500fs,csvr_npt,900,11022.7255859,1.09770721145,22653527.7237,96.5158220167,-0.051576750353
isotropic_tau_500fs,csvr_npt,920,11081.8505859,1.1035952233,13999594.6116,95.684868824,-0.0515908850357
isotropic_tau_500fs,csvr_npt,940,11066.8564453,1.10210201945,16471553.3472,95.4030019552,-0.0516419801861
isotropic_tau_500fs,csvr_npt,960,11064.2880859,1.10184624727,15714130.162,103.816823467,-0.0506377760321
isotropic_tau_500fs,csvr_npt,980,11054.9091797,1.10091224116,17586162.2101,105.188096235,-0.0504429116845
isotropic_tau_500fs,csvr_npt,1000,11068.5566406,1.1022713348,16078093.434,106.816715017,-0.0501753119752
isotropic_tau_500fs,csvr_npt,1020,11073.8369141,1.10279717519,15347263.9136,101.282567766,-0.0508599448949
isotropic_tau_500fs,csvr_npt,1040,11068.4306641,1.10225878932,15199003.0637,101.833585379,-0.0508466167375
isotropic_tau_500fs,csvr_npt,1060,11059.265625,1.10134608136,15340852.0691,103.873098468,-0.0506655909121
isotropic_tau_500fs,csvr_npt,1080,11027.5449219,1.09818714899,19533355.9232,104.428484988,-0.0506828101352
isotropic_tau_500fs,csvr_npt,1100,11049.5664062,1.10038017666,13976009.4284,104.915119081,-0.0507110664621
isotropic_tau_500fs,csvr_npt,1120,11048.0898438,1.10023313197,12982860.049,104.502734716,-0.0508461650461
isotropic_tau_500fs,csvr_npt,1140,11052.4160156,1.10066395736,11785513.397,100.682334844,-0.0513846985996
isotropic_tau_500fs,csvr_npt,1160,11051.2695312,1.10054978377,12681172.1918,98.8383520675,-0.0516025060788
isotropic_tau_500fs,csvr_npt,1180,11003.2392578,1.09576664941,23068062.4119,98.6101489818,-0.0515445861965
isotropic_tau_500fs,csvr_npt,1200,10995.9912109,1.09504484669,25844499.5846,100.552388778,-0.0512205203995
isotropic_tau_500fs,csvr_npt,1220,10988.6699219,1.09431575008,27786712.2981,101.121836815,-0.0511206826195
isotropic_tau_500fs,csvr_npt,1240,11010.3652344,1.09647629566,23725914.2754,98.2488461155,-0.0514837428927
isotropic_tau_500fs,csvr_npt,1260,10979.4746094,1.09340002731,29098627.1859,98.8693105513,-0.0514091560617
isotropic_tau_500fs,csvr_npt,1280,10980.2695312,1.09347919026,28193875.0602,99.3854058368,-0.0513677578419
isotropic_tau_500fs,csvr_npt,1300,11019.5996094,1.0973959085,19318408.6071,92.7632342446,-0.0522899022326
isotropic_tau_500fs,csvr_npt,1320,11031.2080078,1.09855194043,14373831.8874,93.2624108634,-0.0523698450997
isotropic_tau_500fs,csvr_npt,1340,11039.2226562,1.0993500858,9791806.58659,93.7598008593,-0.0524653699249
isotropic_tau_500fs,csvr_npt,1360,11066.6103516,1.102077512,2587481.41846,93.0312421286,-0.0526699190959
isotropic_tau_500fs,csvr_npt,1380,11039.1708984,1.09934493145,6160522.67999,92.9154733122,-0.0527538442984
isotropic_tau_500fs,csvr_npt,1400,11035.4472656,1.09897411041,6899769.69523,95.2173306184,-0.0524518173188
isotropic_tau_500fs,csvr_npt,1420,11044.6728516,1.09989284799,6547033.05261,94.5945008966,-0.0524644739926
isotropic_tau_500fs,csvr_npt,1440,11027.6289062,1.09819551265,11858500.9383,93.345159708,-0.0525017352775
isotropic_tau_500fs,csvr_npt,1460,11006.3212891,1.09607357603,18887711.5595,96.3836046975,-0.0519425878301
isotropic_tau_500fs,csvr_npt,1480,10978.1464844,1.09326776489,28111842.9305,98.9696652253,-0.0513915149495
isotropic_tau_500fs,csvr_npt,1500,10992.5283203,1.09469999187,29892700.7513,98.3125641726,-0.0512455869466
isotropic_tau_500fs,csvr_npt,1520,10997.2099609,1.09516621691,34177712.6299,93.4635614421,-0.0515865851194
isotropic_tau_500fs,csvr_npt,1540,11006.7041016,1.09611169873,37459005.5929,93.8401699514,-0.0512528093532
