case,time_fs,potential_energy_ev_per_atom,coordination_number
replica_0,20,-0.0704765543342,13.4375
replica_0,40,-0.0705642998219,13.4609375
replica_0,60,-0.0703280717134,13.453125
replica_0,80,-0.0700163990259,13.5234375
replica_0,100,-0.0697468742728,13.5859375
replica_0,120,-0.0696126297116,13.609375
replica_0,140,-0.0695386305451,13.5703125
replica_0,160,-0.0694938525558,13.515625
replica_0,180,-0.0696858689189,13.4296875
replica_0,200,-0.0697435289621,13.421875
replica_0,220,-0.0697767138481,13.4296875
replica_0,240,-0.0698271617293,13.46875
replica_0,260,-0.0700665041804,13.53125
replica_0,280,-0.0703573748469,13.46875
replica_0,300,-0.0706579685211,13.453125
replica_0,320,-0.0708228871226,13.421875
replica_0,340,-0.070869371295,13.3671875
replica_0,360,-0.0708473920822,13.3984375
replica_0,380,-0.0709166899323,13.3984375
replica_0,400,-0.0710021108389,13.296875
replica_0,420,-0.0709758847952,13.3828125
replica_0,440,-0.0709853544831,13.421875
replica_0,460,-0.0708316043019,13.3984375
replica_0,480,-0.0706265494227,13.4765625
replica_0,500,-0.0704218223691,13.4765625
replica_0,520,-0.0703429803252,13.4453125
replica_0,540,-0.0703516677022,13.546875
replica_0,560,-0.0702106505632,13.5390625
replica_0,580,-0.0700827017426,13.6171875
replica_0,600,-0.0699016749859,13.59375
replica_0,620,-0.0697170421481,13.625
replica_0,640,-0.0695465505123,13.640625
replica_0,660,-0.0695007517934,13.671875
replica_0,680,-0.069548279047,13.703125
replica_0,700,-0.0695751607418,13.6484375
replica_0,720,-0.0697143301368,13.6640625
replica_0,740,-0.0699164941907,13.6328125
replica_0,760,-0.0699949786067,13.5859375
replica_0,780,-0.0699345767498,13.5859375
replica_0,800,-0.0698183551431,13.5
replica_0,820,-0.0696344450116,13.5234375
replica_0,840,-0.0694822594523,13.515625
replica_0,860,-0.0693403854966,13.5546875
replica_0,880,-0.0691509023309,13.546875
replica_0,900,-0.0690786913037,13.5234375
replica_0,920,-0.0691555589437,13.5625
replica_0,940,-0.0695296898484,13.4921875
replica_0,960,-0.0699610859156,13.421875
replica_0,980,-0.0703507661819,13.4375
replica_0,1000,-0.0707480236888,13.4296875
replica_0,1020,-0.0709050297737,13.484375
replica_0,1040,-0.0708258748055,13.46875
replica_0,1060,-0.0706179812551,13.4765625
replica_0,1080,-0.0703661516309,13.515625
replica_0,1100,-0.0701566711068,13.53125
replica_0,1120,-0.0698360428214,13.5078125
replica_0,1140,-0.069640301168,13.5234375
replica_0,1160,-0.0697905421257,13.53125
replica_0,1180,-0.0699040144682,13.578125
replica_0,1200,-0.0698806643486,13.546875
replica_0,1220,-0.0696116760373,13.5703125
replica_0,1240,-0.0692828148603,13.5390625
replica_0,1260,-0.0691137164831,13.4921875
replica_0,1280,-0.069153636694,13.53125
replica_0,1300,-0.0693776533008,13.5078125
replica_0,1320,-0.0697183907032,13.4921875
replica_0,1340,-0.0699568539858,13.5
replica_0,1360,-0.0700495541096,13.578125
replica_0,1380,-0.069986090064,13.625
replica_0,1400,-0.0698859915137,13.546875
replica_0,1420,-0.0697191134095,13.5
replica_0,1440,-0.0696886405349,13.53125
replica_0,1460,-0.0696743875742,13.5390625
replica_0,1480,-0.069689579308,13.515625
replica_0,1500,-0.0697948560119,13.5078125
replica_0,1520,-0.069692581892,13.6015625
replica_0,1540,-0.0695378109813,13.6015625
replica_0,1560,-0.069646447897,13.59375
replica_0,1580,-0.069776751101,13.5625
replica_0,1600,-0.069942548871,13.5390625
replica_1,20,-0.0701692551374,13.46875
replica_1,40,-0.0704486221075,13.4765625
replica_1,60,-0.0706906542182,13.59375
replica_1,80,-0.0707484036684,13.515625
replica_1,100,-0.070566020906,13.5625
replica_1,120,-0.0702146440744,13.5234375
replica_1,140,-0.0697754099965,13.53125
replica_1,160,-0.0695310607553,13.484375
replica_1,180,-0.0695107802749,13.5
