radius_angstrom,rdf,rdf_replica_std
0.04,0,0
0.12,0,0
0.2,0,0
0.28,0,0
0.36,0,0
0.44,0,0
0.52,0,0
0.6,0,0
0.68,0,0
0.76,0,0
0.84,0,0
0.92,0,0
1,0,0
1.08,0,0
1.16,0,0
1.24,0,0
1.32,0,0
1.4,0,0
1.48,0,0
1.56,0,0
1.64,0,0
1.72,0,0
1.8,0,0
1.88,0,0
1.96,0,0
2.04,0,0
2.12,0,0
2.2,0,0
2.28,0,0
2.36,0,0
2.44,0,0
2.52,0,0
2.6,0,0
2.68,0,0
2.76,0,0
2.84,0,0
2.92,0,0
3,0,0
3.08,0.0024822778193,0.000568761300142
3.16,0.0324251185876,0.00230150205548
3.24,0.211868364098,0.0152952155208
3.32,0.829771044553,0.0508804558927
3.4,1.94261786415,0.0609506600093
3.48,3.20680053927,0.00538864076037
3.56,4.23059956859,0.0264028203669
3.64,4.60875504419,0.0297071791765
3.72,4.43564049441,0.0766685219558
3.8,3.70095343485,0.0736834729311
3.88,2.8730782018,0.0764730057116
3.96,2.0647800314,0.028144676421
4.04,1.36465095125,0.0276821564949
4.12,0.86303490192,0.0138977045571
4.2,0.5005389544,0.0205210076511
4.28,0.281912728439,0.0142496238545
4.36,0.148033149002,0.0264285366428
4.44,0.0864842676203,0.00863851337708
4.52,0.0690998677323,0.0152198880786
4.6,0.0799050210104,0.00745486458252
4.68,0.123912434065,0.00486057712908
4.76,0.195705227923,0.0137441876277
4.84,0.301324757887,0.00761790547914
4.92,0.435000440039,0.00869077115965
5,0.582594882883,0.0247327296625
5.08,0.751957679715,0.0201559898877
5.16,0.863389844822,0.0201377086797
5.24,0.92269241381,0.0278691231236
5.32,0.887080633931,0.027417711645
5.4,0.790733249479,0.0117234878154
5.48,0.651562625157,0.00129565307162
5.56,0.485318408427,0.0147778342918
5.64,0.354310024594,0.00868526507764
5.72,0.271558814251,0.00947377618041
5.8,0.255264006118,0.0100216671169
5.88,0.354958537258,0.0195607984094
5.96,0.542222335675,0.0257947834136
6.04,0.863517152702,0.0404989174068
6.12,1.29962539462,0.038609768764
6.2,1.76671716192,0.0195911245789
6.28,2.17615101129,0.0437939643219
6.36,2.42972261333,0.0533690590005
6.44,2.52545296314,0.0494019625524
6.52,2.36813597217,0.0477150655476
6.6,2.0212008535,0.0503916421429
6.68,1.58579901351,0.0353714692218
6.76,1.17354033485,0.00683902895416
6.84,0.844952259385,0.0292792738174
6.92,0.607971300503,0.037692409821
7,0.525574069228,0.024556765961
7.08,0.562669207522,0.0204852367463
7.16,0.664383858515,0.0202027847641
7.24,0.800036555072,0.00966173780568
7.32,0.918689513787,0.0199335103538
7.4,0.954731172836,0.00545460076696
7.48,0.916909482361,0.0278941919503
7.56,0.837944935229,0.0197959614271
7.64,0.734695568347,0.0137469790494
7.72,0.660120505079,0.00787418226255
7.8,0.618354723191,0.0214282096364
7.88,0.666144159163,0.0286592511423
7.96,0.804050395037,0.0229508428537
