radius,small_cell_rdf,large_cell_rdf
0.025,0,0
0.075,0,0
0.125,0,0
0.175,0,0
0.225,0,0
0.275,0,0
0.325,0,0
0.375,0,0
0.425,0,0
0.475,0,0
0.525,0,0
0.575,0,0
0.625,0,0
0.675,0,0
0.725,0,0
0.775,0,0
0.825,0,0
0.875,0,0
0.925,0,0
0.975,0,0
1.025,0,0
1.075,0,0
1.125,0,0
1.175,0,0
1.225,0,0
1.275,0,0
1.325,0,0
1.375,0,0
1.425,0,0
1.475,0,0
1.525,0,0
1.575,0,0
1.625,0,0
1.675,0,0
1.725,0,0
1.775,0,0
1.825,0,0
1.875,0,0
1.925,0,0
1.975,0,0
2.025,0,0
2.075,0,0
2.125,0,0
2.175,0,0
2.225,0,0
2.275,0,0
2.325,0,0
2.375,0,0
2.425,0,0
2.475,0,0
2.525,0,0
2.575,0,0
2.625,0,0
2.675,0,0
2.725,0,0
2.775,0,0
2.825,0,0
2.875,0,0
2.925,0,0
2.975,0,0
3.025,0,0
3.075,0,0
3.125,0,0
3.175,0,0
3.225,0,0
3.275,0,0
3.325,0,0
3.375,0,0
3.425,0,0.000560814834918
3.475,0.00108958531932,0.00122578348424
3.525,0.00741226383449,0.00608864529261
3.575,0.021619143125,0.0196888624888
3.625,0.0720921442124,0.0637064260488
3.675,0.187050208278,0.192043084931
3.725,0.493085943691,0.46250513276
3.775,0.938062555177,1.00984834619
3.825,1.93531453071,1.88068146484
3.875,3.27542916162,3.19174711643
3.925,4.70250607604,4.79976322813
3.975,6.40943647999,6.36571874383
4.025,7.39551879698,7.40759966038
4.075,7.75711751101,7.66629426334
4.125,6.91525757635,7.03134312299
4.175,5.65759480628,5.70590515552
4.225,4.04882920856,4.04947416133
4.275,2.54141664511,2.56022528813
4.325,1.43141546999,1.41761127903
4.375,0.710097254158,0.715596555255
4.425,0.328591285767,0.292809105875
4.475,0.128121604101,0.11432389289
4.525,0.0385556490064,0.0400014858442
4.575,0.0150870064377,0.0128082398403
4.625,0.00307553485961,0.00276798137365
4.675,0,0.000677272599614
4.725,0,0.000221004920434
4.775,0,0
4.825,0,0
4.875,0,0
4.925,0,0
4.975,0,0
5.025,0,0
5.075,0,0.000127715249477
5.125,0,0
5.175,0,0.000429894926549
5.225,0.00385560412986,0.00198804587946
5.275,0.00993000503453,0.00691553922048
5.325,0.0320173238751,0.0213448825834
5.375,0.0614825756846,0.0559036012243
5.425,0.135909363257,0.141218322759
5.475,0.312965609931,0.297986715907
5.525,0.540515759911,0.555494167134
5.575,0.912290124091,0.898743356588
5.625,1.29784912616,1.32591859621
5.675,1.66892136058,1.66759357737
5.725,1.91006896704,1.91307979454
5.775,nan,1.88976228306
5.825,nan,1.66749641072
5.875,nan,1.30253403894
5.925,nan,0.901767729833
5.975,nan,0.557067922629
6.025,nan,0.303652034329
6.075,nan,0.142429556179
6.125,nan,0.0595790021765
6.175,nan,0.0238526810566
6.225,nan,0.00700311510042
6.275,nan,0.00167077742929
6.325,nan,0.000822233260894
6.375,nan,0.000161877225925
6.425,nan,0.000318735104312
6.475,nan,0.00156915792394
6.525,nan,0.00645121744535
6.575,nan,0.021913777244
6.625,nan,0.0667388101059
6.675,nan,0.17858692514
6.725,nan,0.414360171051
6.775,nan,0.869600293992
6.825,nan,1.57232949214
6.875,nan,2.54849304724
6.925,nan,3.61877121893
6.975,nan,4.56841899725
7.025,nan,5.08367312426
7.075,nan,5.00346463813
7.125,nan,4.37854364886
7.175,nan,3.36082696467
7.225,nan,2.2797408456
7.275,nan,1.37920089636
7.325,nan,0.729906609045
7.375,nan,0.345295347459
7.425,nan,0.140751083234
7.475,nan,0.0536011736406
7.525,nan,0.0159748375194
7.575,nan,0.00535997941612
7.625,nan,0.0043281125427
7.675,nan,0.0105261950307
7.725,nan,0.0307852756964
7.775,nan,0.0774865026258
7.825,nan,0.18098775918
7.875,nan,0.367365412906
7.925,nan,0.650462840896
7.975,nan,1.03074671452
