coordinate,true_pmf,dense_bridge_pmf,sparse_bridge_pmf
-2.97,4.41,,4.6512
-2.91,4.2336,,
-2.85,4.0608,,5.9616
-2.79,3.8916,4.99287823214,6.552
-2.73,3.726,4.15378387102,5.30744053077
-2.67,3.564,3.84685365481,5.40597542266
-2.61,3.4056,3.61450647425,6.11808985094
-2.55,3.2508,3.23359877803,5.22350346198
-2.49,3.0996,3.46823683566,5.11833038172
-2.43,2.952,3.42338561275,4.86971188646
-2.37,2.808,3.28134924391,4.70451537553
-2.31,2.6676,2.95687154507,4.5783364435
-2.25,2.5308,1.49899136027,4.40414710354
-2.19,2.3976,2.08347731112,4.36297229859
-2.13,2.268,2.65972732285,4.20373545289
-2.07,2.142,2.14160547288,4.02692415483
-2.01,2.0196,2.17760615474,3.9574059218
-1.95,1.9008,2.40611114966,3.74346017623
-1.89,1.7856,2.14746775635,3.6629693341
-1.83,1.674,1.89470188152,3.64930930365
-1.77,1.566,1.96671440557,3.47043086303
-1.71,1.4616,1.78382768475,3.40343859445
-1.65,1.3608,1.09225449527,3.27560190549
-1.59,1.2636,1.07950609708,3.13314190598
-1.53,1.17,1.51466125129,3.1075688244
-1.47,1.08,1.39187191852,3.06602255552
-1.41,0.9936,1.56211922423,2.91973296931
-1.35,0.9108,1.55327454027,2.72464739759
-1.29,0.8316,1.1735075282,2.73940050685
-1.23,0.756,1.00942565303,2.76890808645
-1.17,0.684,1.12746374051,2.52561384027
-1.11,0.6156,1.03822532744,2.32512417513
-1.05,0.5508,0.857927896572,2.68437542266
-0.99,0.4896,0.917720343264,2.56656208757
-0.93,0.432,0.894289922599,2.04090563888
-0.87,0.378,0.706406385941,1.94205281944
-0.81,0.3276,0.584156698875,1.8
-0.75,0.2808,0.551694310388,
-0.69,0.2376,0.601472024107,0
-0.63,0.198,0.545948179029,
-0.57,0.162,0.512599151903,
-0.51,0.1296,0.517810883195,
-0.45,0.1008,0.309885315369,
-0.39,0.0756,0.650840450991,
-0.33,0.054,0.421073378515,
-0.27,0.036,0.6558378915,
-0.21,0.0216,0.169149206165,
-0.15,0.0108,0.41179175364,
-0.09,0.0036,0.0586512799818,
-0.03,0,0.308337416033,
0.03,1.59919820442e-16,0,
0.09,0.0036,0.265845083847,
0.15,0.0108,0.183534578199,
0.21,0.0216,0.147241282689,
0.27,0.036,0.597097435914,
0.33,0.054,0.48960424912,
0.39,0.0756,0.255528986326,
0.45,0.1008,0.377943047931,
0.51,0.1296,0.210259409235,
0.57,0.162,0.542695662169,
0.63,0.198,0.445079849192,
0.69,0.2376,0.581293075444,
0.75,0.2808,0.604593124793,
0.81,0.3276,0.283176254799,1.10685281944
0.87,0.378,0.588630363849,1.94205281944
0.93,0.432,0.789394175029,2.32858771133
0.99,0.4896,0.576042922063,2.23008985094
1.05,0.5508,0.970702597658,2.10901127776
1.11,0.6156,1.06077832561,2.32512417513
1.17,0.684,1.09409316174,2.867363134
1.23,0.756,1.26313312582,2.69614873217
1.29,0.8316,1.14390840536,2.68703252133
1.35,0.9108,1.1751762945,2.74432016319
1.41,0.9936,1.32814001385,2.85614186652
1.47,1.08,1.43729999702,2.97641039683
1.53,1.17,1.39149921558,3.07955578817
1.59,1.2636,1.5839131446,3.2718428403
1.65,1.3608,1.72350722467,3.27188442909
1.71,1.4616,1.95178178548,3.31195543807
1.77,1.566,1.91062263868,3.46596988909
1.83,1.674,1.96845083449,3.52605429811
1.89,1.7856,2.26351179827,3.66438476251
1.95,1.9008,2.12238215139,3.83905983353
2.01,2.0196,2.43734475832,3.97343476007
2.07,2.142,2.54278538573,4.09549940259
2.13,2.268,2.05108935604,4.22649244001
2.19,2.3976,2.7009203096,4.39302464366
2.25,2.5308,2.75680117366,4.56030783429
2.31,2.6676,2.86268587341,4.58420156295
2.37,2.808,0.0144900450607,4.57736020005
2.43,2.952,3.24617660528,4.8831349068
2.49,3.0996,3.46836184347,5.16712054589
2.55,3.2508,3.9268709664,5.14939548982
2.61,3.4056,3.56056426079,4.92850578407
2.67,3.564,3.55929659017,5.65728985094
2.73,3.726,4.8470560594,5.48976208757
2.79,3.8916,4.99300323996,
2.85,4.0608,4.40260323996,5.9616
2.91,4.2336,,
2.97,4.41,,
